up_hh_01 ,up_hh_02,up_hh_03,up_hh_04,up_hx_01,up_hx_02,up_hx_03,up_hx_04,up_sc_01,up_sc_02,up_sc_03,up_sc_04,low_hh_01,low_hh_02,low_hh_03,low_hh_04,low_hx_01,low_hx_02,low_hx_03,low_hx_04,low_sc_01,low_sc_02,low_sc_03,low_sc_04
7.3,6.8,6.3,7.2,8.211,7.706,9.213,9.277,8.621923937,7.989932886,9.604026846,9.348993289,25.9,20.7,23.1,22.5,30.17,24.888,23.825,29.506,31.69686801,26.19127517,24.30313199,30.12080537
10.6,11.5,10.8,10.8,10.992,12.328,11.31,13.343,13.3310962,15.27404922,14.42393736,16.2852349,26.2,26.2,20.5,27.9,24.733,24.143,29.15,26.812,25.35458613,25.47427293,31.33557047,27.93176734
15.6,14.6,15.3,13.2,16.666,15.305,14.89,14.675,16.84899329,15.39373602,15.11073826,16.89597315,32.3,30.2,30.3,27.5,31.883,29.905,32.431,32.728,32.9049217,30.93288591,33.37024609,33.63310962
8.3,9.1,9.3,12,9.177,9.993,11.636,13.466,8.928411633,10.07158837,11.34451902,13.1442953,19.7,21.7,25,20.7,22.757,22.636,25.382,23.089,23.99217002,23.4295302,26.65212528,23.7639821
8.8,7.9,12.8,13.5,9.038,8.932,12.943,14.233,8.853467562,8.938478747,13.06599553,14.1442953,24.4,20.6,18.6,22.7,25.198,21.852,19.962,25.124,27.82326622,23.52908277,21.91051454,26.84675615
14.5,22.2,18.5,18.8,10.585,15.459,17.894,19.024,10.81655481,15.88143177,18.43512304,19.66442953,40.5,43.5,29.3,41.4,43.841,41.954,41.35,37.056,44.49552573,42.92170022,42.10178971,39.67897092
7.5,8.3,7.5,6.4,13.004,21.648,17.556,18.362,13.65548098,22.08501119,18.02237136,18.87583893,22.7,27.3,31,26.2,39.094,43.124,24.95,40.976,39.30313199,42.82885906,25.28970917,41.13646532
6.1,5.2,10.2,12.5,7.462,7.071,8.849,8.222,7.777404922,7.399328859,9.129753915,8.559284116,24.4,27.2,25.5,26.1,21.53,23.934,27.817,24.013,21.32997763,24.18456376,28.09619687,24.34116331
11.9,15.8,18.5,16.1,5.902,6.53,9.034,10.39,6.361297539,7.638702461,9.409395973,11.16778523,28.4,28.3,25.1,21.5,22.777,24.034,21.699,22.795,23.21029083,24.66107383,22.06487696,23.87248322
9.1,10.7,12.7,11.5,10.762,13.1,18.426,14.732,10.85011186,13.6901566,18.8344519,14.86800895,20.7,14.1,25.6,26.3,26.752,26.713,22.967,22.784,26.5738255,26.71364653,23.53579418,25.74049217
11.7,16.5,12.4,13.1,8.692,10.321,11.49,10.971,9.176733781,10.57718121,11.84004474,11.34451902,36.8,33.6,34.7,26.1,18.558,16.472,19.992,21.251,19.03579418,16.76286353,20.11856823,21.53803132
7.3,6.7,5.6,5.6,10.08,15.051,9.362,12.115,10.59060403,22.65883669,10.05480984,13.4541387,16.8,24.4,24.4,24.6,38.846,37.983,43.131,33.151,39.6442953,38.31655481,43.4541387,33.97427293
8.9,9.5,8.2,11.4,8.687,7.038,6.301,5.685,9.044742729,7.402684564,6.654362416,6.173378076,22.3,26.8,29.7,32.1,18.248,26.203,26.328,25.488,18.59284116,27.02796421,27.29306488,26.78076063
5,8,8.5,9.8,7.967,9.326,7.647,10.692,8.307606264,11.36577181,8.672259508,10.97986577,9.8,15.3,14.7,10.9,24,29.748,30.988,34.26,25.00671141,31.21252796,32.36353468,36.27852349
7.1,8.5,5.3,5.7,7.474,10.415,8.81,8.122,7.948545861,10.95637584,9.246085011,8.686800895,15.2,23.4,22.4,22.5,9.645,17.527,14.236,11.214,11.0033557,19.98769575,16.01789709,12.56711409
6.8,7.6,8.8,8.9,6.243,6.812,4.397,4.219,6.955257271,7.668903803,4.944071588,4.743847875,9.2,11.4,10.4,11.5,16.25,24.44,23.858,24.399,17.75279642,26.46756152,25.85682327,26.28747204
4.8,3.2,5.8,4.5,6.874,7.643,8.233,7.688,7.672259508,8.615212528,9.123042506,8.56935123,8.2,12.6,13.1,12.4,9.988,12.622,10.183,11.657,11.10290828,13.96308725,11.72706935,12.76845638
9.5,10.2,10.1,10.3,4.866,3.533,5.072,4.723,5.450782998,3.985458613,5.699105145,5.121923937,39.4,40.4,36.1,36.3,8.645,12.632,12.923,12.332,9.470917226,13.54697987,14.29418345,13.25279642
6.4,8.2,8.9,7.5,9.689,10.708,10.847,10.823,10.80536913,15.82997763,12.40044743,11.92170022,23,22.3,14.6,18.8,41.518,40.032,35.825,38.36,45.64541387,43.94519016,41.90715884,42.098434
5.5,6.3,6.1,4.7,7.669,8.781,9.114,8.031,8.9049217,9.6901566,10.25279642,9.023489933,20.5,17.1,16.6,19.9,23.149,23.534,16.055,19.044,25.31431767,25.72706935,17.38702461,20.99552573
7.1,7.1,6.4,10.5,6.179,6.679,6.451,5.722,7.41163311,7.836689038,7.699105145,6.70917226,20.6,25.3,23.8,32.9,20.922,18.694,19.016,19.804,22.48098434,19.79082774,20.43959732,21.25838926
7.7,8.7,8.7,9.9,7.924,7.792,7.432,10.966,8.760626398,8.743847875,8.194630872,12.07270694,24.6,33.7,26,32.4,21.661,25.293,24.858,36.074,23.87919463,28.28411633,26.89709172,39.24161074
